stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,level_id,platform_code
910GBRENTX-1002310-FB-8,,FB,,51.56817,-0.22515,3,910GBRENTX,L#2,
910GBRENTX-1002310-RLY-5,,RLY,,51.56817,-0.22509,3,910GBRENTX,L#2,
910GBRENTX-1002310-RPL1-2,,RPL1,,51.56829,-0.22487,3,910GBRENTX,L#0,
910GBRENTX-1002310-RPL2-3,,RPL2,,51.56793,-0.22489,3,910GBRENTX,L#0,
910GBRENTX-1002310-RPL3-4,,RPL3,,51.56787,-0.22489,3,910GBRENTX,L#0,
910GBRENTX-1002310-RPL4-10,,RPL4,,51.56738,-0.22491,3,910GBRENTX,L#0,
910GBRENTX-Plat01-SB-thameslink,,Southbound Platform 1 ,,,,0,910GBRENTX,,1
910GBRENTX-Plat02-NB-thameslink,,Northbound Platform 2,,,,0,910GBRENTX,,2
910GBRENTX-Plat03-SB-thameslink,,Southbound Platform 3,,,,0,910GBRENTX,,3
910GBRENTX-Plat04-NB-thameslink,,Northbound Platform 4,,,,0,910GBRENTX,,4
910GBROCKLY,910GBROCKLY,Brockley,,,,1,,,
910GBROCKLY-Outside,,Outside Brockley,,,,3,910GBROCKLY,,
910GBROCKLY-1001035-Brdge-7,,Brdge,,51.4642,-0.03799,3,910GBROCKLY,L#1,
910GBROCKLY-1001035-Bus-4,,Bus,,51.46388,-0.03622,3,910GBROCKLY,L#0,
910GBROCKLY-1001035-CEntr-2,,CEntr,,51.46446,-0.03752,3,910GBROCKLY,L#0,
910GBROCKLY-1001035-MEntr-5,,MEntr,,51.46434,-0.03824,3,910GBROCKLY,L#0,
910GBROCKLY-1001035-RLY-3,,RLY,,51.46421,-0.03823,3,910GBROCKLY,L#1,
910GBROCKLY-1001035-RPL-N-6,,RPL-N,,51.46402,-0.03797,3,910GBROCKLY,L#0,
910GBROCKLY-1001035-RPL-S-1,,RPL-S,,51.46401,-0.03777,3,910GBROCKLY,L#0,
910GBROCKLY-Plat01-NB-london-overground,,Northbound Platform 1,,,,0,910GBROCKLY,,1
910GBROCKLY-Plat02-SB-london-overground,,Southbound Platform 2,,,,0,910GBROCKLY,,2
910GBROMLYS,910GBROMLYS,Bromley South,,,,1,,,
910GBROMLYS-Outside,,Outside Bromley South,,,,3,910GBROMLYS,,
910GBROMLYS-1001037-Bridg-70,,Bridg,,51.39994,0.0193,3,910GBROMLYS,L#1,
910GBROMLYS-1001037-Bus-1,,Bus,,51.40051,0.01692,3,910GBROMLYS,L#1,
910GBROMLYS-1001037-Con-71,,Con,,51.40002,0.01742,3,910GBROMLYS,L#1,
910GBROMLYS-1001037-Entr-90,,Entr,,51.40002,0.0172,3,910GBROMLYS,L#1,
910GBROMLYS-1001037-RLY-4,,RLY,,51.39997,0.01734,3,910GBROMLYS,L#0,
910GBROMLYS-1001037-RPL E-2,,RPL E,,51.40005,0.01825,3,910GBROMLYS,L#0,
910GBROMLYS-1001037-RPL W-3,,RPL W,,51.39991,0.01823,3,910GBROMLYS,L#0,
910GBROMLYS-Plat01-NB-thameslink,,Northbound Platform 1,,,,0,910GBROMLYS,,1
910GBROMLYS-Plat02-SB-thameslink,,Southbound Platform 2,,,,0,910GBROMLYS,,2
910GBROMLYS-Plat03-NB-thameslink,,Northbound Platform 3,,,,0,910GBROMLYS,,3
910GBROMLYS-Plat04-SB-thameslink,,Southbound Platform 4,,,,0,910GBROMLYS,,4
910GBRTWOOD,910GBRTWOOD,Brentwood,,,,1,,,
910GBRTWOOD-Outside,,Outside Brentwood,,,,3,910GBRTWOOD,,
910GBRTWOOD-1000292-EntA-90,,EntA,,51.61384,0.30015,3,910GBRTWOOD,L#-1,
910GBRTWOOD-1000292-EntK-6,,EntK,,51.61374,0.29929,3,910GBRTWOOD,L#0,
910GBRTWOOD-1000292-FBdg-7,,FBdg,,51.61368,0.29939,3,910GBRTWOOD,L#0,
910GBRTWOOD-1000292-RLY-3,,RLY,,51.6136,0.29959,3,910GBRTWOOD,L#0,
