UniqueId,StationUniqueId,AreaName,AreaId,Level,Lat,Lon,FriendlyName
910GCHINGFD-1001063-RPL-2,910GCHINGFD,RPL,2,0,51.63327,0.01011,RPL
910GCLAPTON-1001070-Bus-1,910GCLAPTON,Bus,1,0,51.56203,-0.05746,Bus
910GCLAPTON-1001070-RLY-5,910GCLAPTON,RLY,5,1,51.56164,-0.05702,RLY
910GCLAPTON-1001070-RPL-N-2,910GCLAPTON,RPL-N,2,-1,51.56176,-0.05682,RPL-N
910GCLAPTON-1001070-RPL-S-4,910GCLAPTON,RPL-S,4,-1,51.5617,-0.0567,RPL-S
910GCLAPTON-1001070-UPPER-3,910GCLAPTON,UPPER,3,0,51.56145,-0.05721,UPPER
910GCLDNNRB-1001043-Bus-1,910GCLDNNRB,Bus,1,0,51.54245,-0.11734,Bus
910GCLDNNRB-1001043-Entr-3,910GCLDNNRB,Entr,3,0,51.54317,-0.11563,Entr
910GCLDNNRB-1001043-RLY-4,910GCLDNNRB,RLY,4,1,51.54354,-0.11517,RLY
910GCLDNNRB-1001043-RPL-2,910GCLDNNRB,RPL,2,0,51.54344,-0.11559,RPL
910GCLPHHS-1001068-Entr-2,910GCLPHHS,Entr,2,0,51.46508,-0.13199,Entr
910GCLPHHS-1001068-RLY-4,910GCLPHHS,RLY,4,-1,51.46522,-0.1318,RLY
910GCLPHHS-1001068-RPL-E-3,910GCLPHHS,RPL-E,3,1,51.46556,-0.13222,RPL-E
910GCLPHHS-1001068-RPL-W-1,910GCLPHHS,RPL-W,1,1,51.4655,-0.13228,RPL-W
910GCMDNRD-1001045-Bus-1,910GCMDNRD,Bus,1,0,51.54177,-0.13836,Bus
910GCMDNRD-1001045-Entr-90,910GCMDNRD,Entr,90,0,51.54169,-0.1386,Entr
910GCMDNRD-1001045-RLY-4,910GCMDNRD,RLY,4,0,51.54179,-0.1387,RLY
910GCMDNRD-1001045-RPL E-2,910GCMDNRD,RPL E,2,1,51.5419,-0.13909,RPL E
910GCMDNRD-1001045-RPL W-3,910GCMDNRD,RPL W,3,1,51.54178,-0.13913,RPL W
910GCMDNRD-1001045-Subwy-70,910GCMDNRD,Subwy,70,0,51.54179,-0.1387,Subwy
910GCNNB-1001048-Bus-7,910GCNNB,Bus,7,0,51.54928,-0.09266,Bus
910GCNNB-1001048-Entr-2,910GCNNB,Entr,2,0,51.54872,-0.09195,Entr
910GCNNB-1001048-RLY-6,910GCNNB,RLY,6,0,51.54873,-0.09219,RLY
910GCNNB-1001048-RPL 1-1,910GCNNB,RPL 1,1,-1,51.54859,-0.09286,RPL 1
910GCNNB-1001048-RPL 2-3,910GCNNB,RPL 2,3,-1,51.54867,-0.0929,RPL 2
910GCNNB-1001048-RPL 3-4,910GCNNB,RPL 3,4,-1,51.54855,-0.09301,RPL 3
910GCNNB-1001048-RPL 4-5,910GCNNB,RPL 4,5,-1,51.54865,-0.09305,RPL 4
910GCOLSDNS-1001072-BRIDG-5,910GCOLSDNS,BRIDG,5,2,51.31569,-0.13804,BRIDG
910GCOLSDNS-1001072-Bus-1,910GCOLSDNS,Bus,1,0,51.31642,-0.13788,Bus
910GCOLSDNS-1001072-EntrB-3,910GCOLSDNS,EntrB,3,0,51.31605,-0.13827,EntrB
910GCOLSDNS-1001072-EntrR-6,910GCOLSDNS,EntrR,6,0,51.31524,-0.1374,EntrR
910GCOLSDNS-1001072-RPLN-2,910GCOLSDNS,RPLN,2,1,51.31588,-0.13799,RPLN
910GCOLSDNS-1001072-RPLS-4,910GCOLSDNS,RPLS,4,1,51.31582,-0.13784,RPLS
910GCRKLWD-1001075-Bus-1,910GCRKLWD,Bus,1,0,51.55925,-0.21218,Bus
910GCRKLWD-1001075-Entr-3,910GCRKLWD,Entr,3,0,51.55832,-0.21236,Entr
910GCRKLWD-1001075-RPL1-2,910GCRKLWD,RPL1,2,1,51.5587,-0.21277,RPL1
910GCRKLWD-1001075-RPL2-4,910GCRKLWD,RPL2,4,1,51.55857,-0.21302,RPL2
910GCRKLWD-1001075-RPL3-5,910GCRKLWD,RPL3,5,1,51.55846,-0.21318,RPL3
910GCRLN-1001058-EntC-6,910GCRLN,EntC,6,0,51.48697,0.0318,EntC
910GCRLN-1001058-EntD-5,910GCRLN,EntD,5,0,51.48654,0.03136,EntD
910GCRLN-1001058-EntT-4,910GCRLN,EntT,4,0,51.48709,0.03104,EntT
910GCRLN-1001058-FBdg-7,910GCRLN,FBdg,7,0,51.48691,0.03149,FBdg
910GCRLN-1001058-RLY-1,910GCRLN,RLY,1,-1,51.48681,0.03108,RLY
