StationUniqueId,Id,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,Type,IsManagedByTfL
940GZZLUNHT,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUNHT,2,FALSE,TRUE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUNKP,1,FALSE,FALSE,TRUE,Located on platform,FALSE,Male,TRUE
940GZZLUNKP,2,FALSE,FALSE,TRUE,Located on platform,FALSE,Female,TRUE
940GZZLUNOW,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUNOW,2,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Female,TRUE
940GZZLUNWH,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUNWH,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUOAK,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUOAK,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUOSY,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUOSY,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUPCC,1,FALSE,FALSE,FALSE,Located in subway,TRUE,Male,FALSE
940GZZLUPCC,2,FALSE,FALSE,FALSE,Located in subway,TRUE,Female,FALSE
940GZZLUPKR,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUPKR,2,FALSE,TRUE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUPNR,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUPNR,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUPNR,3,TRUE,FALSE,TRUE,Located on platform 1,FALSE,Unisex,TRUE
940GZZLUPRD,1,FALSE,FALSE,TRUE,Located on platform,FALSE,Male,TRUE
940GZZLUPRD,2,FALSE,FALSE,TRUE,Located on platform,FALSE,Female,TRUE
940GZZLUPVL,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUPVL,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUQBY,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUQBY,2,FALSE,TRUE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUQBY,3,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLURBG,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLURBG,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLURSG,1,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLURSM,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLURSM,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLURSP,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLURSP,2,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Female,TRUE
940GZZLURVY,1,FALSE,FALSE,FALSE,Located on platform 2,FALSE,Male,TRUE
940GZZLURVY,2,FALSE,FALSE,FALSE,Located on platform 2,FALSE,Female,TRUE
940GZZLURYL,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLURYL,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUSFB,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUSFB,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUSJW,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUSJW,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUSJW,3,TRUE,TRUE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLUSNB,1,FALSE,FALSE,TRUE,Located on platforms 1 & 2,FALSE,Male,TRUE
940GZZLUSNB,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUSTM,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUSTM,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUSTM,3,TRUE,FALSE,TRUE,Located on platform 1,FALSE,Unisex,TRUE
940GZZLUSUH,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUSUH,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUSUT,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUSUT,2,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Female,TRUE
940GZZLUTAW,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUTAW,2,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Female,TRUE
940GZZLUTHB,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUTHB,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUUPB,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUUPB,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUUPY,1,FALSE,FALSE,TRUE,Located on platform,FALSE,Male,TRUE
940GZZLUUPY,2,FALSE,FALSE,TRUE,Located on platform,FALSE,Female,TRUE
940GZZLUUXB,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUUXB,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUUXB,3,TRUE,TRUE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLUWAF,1,FALSE,FALSE,TRUE,Located on platform,FALSE,Male,TRUE
940GZZLUWAF,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUWCY,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUWCY,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUWFN,1,FALSE,TRUE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUWFN,2,FALSE,TRUE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUWHW,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUWHW,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUWHW,3,TRUE,TRUE,TRUE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLUWIG,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUWIG,2,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLUWLA,1,TRUE,TRUE,TRUE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLUWOF,1,FALSE,FALSE,TRUE,Located on platform 2/3,FALSE,Male,TRUE
940GZZLUWOF,2,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Female,TRUE
940GZZLUWOP,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUWOP,2,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Female,TRUE
940GZZLUWTA,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUWTA,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUWYP,1,FALSE,TRUE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUWYP,2,FALSE,TRUE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUWYP,3,TRUE,FALSE,TRUE,Located on platform 1,FALSE,Unisex,TRUE
HUBABW,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
HUBABW,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
HUBABW,3,    TRUE ,FALSE,TRUE,Located in ticket hall,FALSE,Unisex,TRUE
HUBAMR,1,FALSE,FALSE,TRUE,Located on platform 1/2,FALSE,Male,TRUE
HUBAMR,2,FALSE,FALSE,TRUE,Located on platform 3,FALSE,Female,TRUE
HUBBEK,1,FALSE,FALSE,FALSE,Located in National Rail station,FALSE,Male,FALSE
HUBBEK,2,FALSE,FALSE,FALSE,Located in National Rail station,FALSE,Female,FALSE
HUBBEK,3,TRUE,FALSE,FALSE,Located in National Rail station,FALSE,Unisex,FALSE
