StationUniqueId,LiftUniqueId,LiftId,NationalRailUprn,LiftName,FriendlyName,FromAreas,IntermediateAreas,IntermediateAreas2,ToAreas,LimitedCapacityLift,LiftNotes
HUBWEH,HUBWEH-Lift-5,5,,,Lift 5,HUBWEH-1000262-Footb-1,,,HUBWEH-1000262-DLR-5,False,
HUBWFJ,HUBWFJ-Lift-1,1,,,Lift 1,HUBWFJ-1001317-RLY-D-7,,,HUBWFJ-1001317-RPL-D-4,False,
HUBWIJ,HUBWIJ-Lift-1,1,,,Lift 1,HUBWIJ-1000271-RLY-10,,,HUBWIJ-1000271-Under-3|HUBWIJ-1000271-RPL-L-4,False,
HUBWIJ,HUBWIJ-Lift-2,2,,,Lift 2,HUBWIJ-1000271-Sub-7,,,HUBWIJ-1000271-RPL-H-6,False,
HUBWIM,HUBWIM-Lift-1,1,,,Lift 1,HUBWIM-1000272-BookH-5,,,HUBWIM-1000272-Under-1,False,
HUBWIM,HUBWIM-Lift-2,2,,,Lift 2,HUBWIM-1000272-BookH-5,,,HUBWIM-1000272-Tram-2|HUBWIM-1000272-RPL-S-7,False,
HUBWMB,HUBWMB-Lift-1,1,,,Lift 1,HUBWMB-1000256-RLY-4,,,HUBWMB-1000256-UNB-3|HUBWMB-1000256-RPLDN-7,False,
HUBWMB,HUBWMB-Lift-2,2,,,Lift 2,HUBWMB-1000256-RLY-4,,,HUBWMB-1000256-USB-9|HUBWMB-1000256-RPLDS-11,False,
HUBWMB,HUBWMB-Lift-3,3,,,Lift 3,HUBWMB-1000256-RLY-4,,,HUBWMB-1000256-RPLAN-5,False,
HUBWMB,HUBWMB-Lift-4,4,,,Lift 4,HUBWMB-1000256-RLY-4,,,HUBWMB-1000256-RPLAS-6,False,
HUBWSM,HUBWSM-Lift-2,2,,A,Lift 2,HUBWSM-1000266-BookH-4,,,HUBWSM-1000266-A-BRI-2,False,
HUBWSM,HUBWSM-Lift-3,3,,B,Lift 3,HUBWSM-1000266-BookH-4,,,HUBWSM-1000266-DisEB-3,False,
HUBWSM,HUBWSM-Lift-4,4,,C,Lift 4,HUBWSM-1000266-BookH-4,,,HUBWSM-1000266-DisWB-5,False,
HUBWSM,HUBWSM-Lift-5,5,,D,Lift 5,HUBWSM-1000266-DisWB-5,HUBWSM-1000266-JubEB-6,,HUBWSM-1000266-JubWB-11,False,
HUBWWA,HUBWWA-Lift-2,2,,,Lift 2,HUBWWA-1003000-BED-2,,,HUBWWA-1003000-DLR-1,False,
HUBWWA,HUBWWA-Lift-3,3,,,Lift 3,HUBWWA-1003000-WOO-3,,,HUBWWA-1003000-DLR-1,False,
HUBZCW,HUBZCW-Lift-1,1,,,Lift 1,HUBZCW-1000037-RLY-5,HUBZCW-1000037-RPL-S-3,,HUBZCW-1000037-JubWB-10|HUBZCW-1000037-Jubil-1,False,
HUBZCW,HUBZCW-Lift-2,2,,,Lift 2,HUBZCW-1000037-RLY-5,,,HUBZCW-1000037-RPL-N-2,False,
HUBZCW,HUBZCW-Lift-4,4,,,Lift 4,HUBZCW-1000037-SURRE-4,,,HUBZCW-1000037-RLY-5,False,
HUBZFD,HUBZFD-Lift-1,1,,A,Lift A,HUBZFD-1000080-NBK-12,,,HUBZFD-1000080-HamEB-1,False,
HUBZFD,HUBZFD-Lift-2,2,,B,Lift B,HUBZFD-1000080-BookH-3,,,HUBZFD-1000080-HamWB-2,False,
HUBZFD,HUBZFD-Lift-3,3,,C1,Lift C1,HUBZFD-1000080-FBH-14,HUBZFD-1000080-RPL S-4,,HUBZFD-1000080-WLL-17,False,
HUBZFD,HUBZFD-Lift-4,4,,C2,Lift C2,HUBZFD-1000080-FBH-14,HUBZFD-1000080-RPL S-4,,HUBZFD-1000080-WLL-17,False,
HUBZFD,HUBZFD-Lift-5,5,,D,Lift D,HUBZFD-1000080-FBH-14,,,HUBZFD-1000080-RPL N-5,False,
HUBZFD,HUBZFD-Lift-7,7,,F,Lift F,HUBZFD-1000080-LLBH-20,,,HUBZFD-1000080-EUL-19,False,
HUBZFD,HUBZFD-Lift-8,8,,E,Lift E,HUBZFD-1000080-EUL-19,,,HUBZFD-1000080-ELL-18,False,
