PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
910GGIDEAPK-Plat04-EB-elizabeth,910GGIDEAPK,elizabeth,Shenfield,,,,,,,False,,TRUE,Use the Crossways entrance for step-free access,
910GGODMAYS-Plat01-WB-elizabeth,910GGODMAYS,elizabeth,Liverpool Street,,,,,,,False,,TRUE,,
910GGODMAYS-Plat02-EB-elizabeth,910GGODMAYS,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GGODMAYS-Plat03-WB-elizabeth,910GGODMAYS,elizabeth,Liverpool Street,,,,,,,False,,TRUE,,
910GGODMAYS-Plat04-EB-elizabeth,910GGODMAYS,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GGOSPLOK-Plat01-WB-london-overground,910GGOSPLOK,london-overground,Richmond and Clapham Junction,,,,,,,False,,TRUE,,
910GGOSPLOK-Plat02-EB-london-overground,910GGOSPLOK,london-overground,Stratford,,,,,,,False,,TRUE,,
910GGOSPLOK-Plat03-EB-london-overground,910GGOSPLOK,london-overground,Barking,,,,,,,False,,TRUE,,
910GHACKNYC-Plat01-WB-london-overground,910GHACKNYC,london-overground,Richmond and Clapham Junction,,,,,,,False,,TRUE,,
910GHACKNYC-Plat02-EB-london-overground,910GHACKNYC,london-overground,Stratford,,,,,,,False,,TRUE,,
910GHACKNYW-Plat01-WB-london-overground,910GHACKNYW,london-overground,Richmond and Clapham Junction,,,,,,,False,,TRUE,,
910GHACKNYW-Plat02-EB-london-overground,910GHACKNYW,london-overground,Stratford,,,,,,,False,,TRUE,,
910GHAGGERS-Plat01-NB-london-overground,910GHAGGERS,london-overground,Highbury & Islington,0,85,,0,50,,TRUE,,FALSE,,
910GHAGGERS-Plat02-SB-london-overground,910GHAGGERS,london-overground,"New Cross, Clapham Junction, Crystal Palace and West Croydon",0,85,,0,50,,TRUE,,FALSE,,
910GHAKNYNM-Plat01-SB-london-overground,910GHAKNYNM,london-overground,,,,,,,,False,,TRUE,"Step-free access to/from platform 1 is via Hackney Central entrance, interchange footpath and lift",
910GHAKNYNM-Plat02-NB-london-overground,910GHAKNYNM,london-overground,,,,,,,,False,,False,,
910GHAKNYNM-Plat03-SB-london-overground,910GHAKNYNM,london-overground,,,,,,,,False,,False,,
910GHAKNYNM-Plat04-NB-london-overground,910GHAKNYNM,london-overground,,,,,,,,False,,False,,
910GHANWELL-Plat02-WB-elizabeth,910GHANWELL,elizabeth,Hayes & Harlington,,,,,,,False,,TRUE,,
910GHANWELL-Plat03-EB-elizabeth,910GHANWELL,elizabeth,Paddington Station,,,,,,,False,,TRUE,,
910GHAYESAH-Plat01-WB-elizabeth,910GHAYESAH,elizabeth,,,,,,,,False,,TRUE,,
910GHAYESAH-Plat02-EB-elizabeth,910GHAYESAH,elizabeth,,,,,,,,False,,TRUE,,
910GHAYESAH-Plat03-WB-elizabeth,910GHAYESAH,elizabeth,,,,,,,,False,,TRUE,,
910GHAYESAH-Plat04-EB-elizabeth,910GHAYESAH,elizabeth,,,,,,,,False,,TRUE,,
910GHAYESAH-Plat05-EB-elizabeth,910GHAYESAH,elizabeth,,,,,,,,False,,TRUE,,
910GHDON-Plat01-SB-thameslink,910GHDON,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GHDON-Plat02-NB-thameslink,910GHDON,thameslink,,,,,,,,False,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GHEDSTNL-Plat01-SB-london-overground,910GHEDSTNL,london-overground,,,,,,,,False,,False,,
910GHEDSTNL-Plat02-NB-london-overground,910GHEDSTNL,london-overground,Watford Junction,,,,,,,False,,TRUE,,
910GHERNEH-Plat01-NB-national-rail,910GHERNEH,national-rail,,,,,,,,False,,TRUE,,
910GHERNEH-Plat02-NB-national-rail,910GHERNEH,national-rail,,,,,,,,False,,TRUE,,
910GHERNEH-Plat03-SB-national-rail,910GHERNEH,national-rail,,,,,,,,False,,TRUE,,
910GHERNEH-Plat04-SB-national-rail,910GHERNEH,national-rail,,,,,,,,False,,TRUE,,
