pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
910GCATFORD-1001053-Entr-4-910GCATFORD-1001053-RPL S-2-lift-910GCATFORD-Lift-2,910GCATFORD-1001053-Entr-4,910GCATFORD-1001053-RPL S-2,5,1
910GCATFORD-1001053-RPL N-1-910GCATFORD-Plat01-NB-national-rail-same_level,910GCATFORD-1001053-RPL N-1,910GCATFORD-Plat01-NB-national-rail,1,1
910GCATFORD-1001053-RPL S-2-910GCATFORD-Plat02-SB-national-rail-same_level,910GCATFORD-1001053-RPL S-2,910GCATFORD-Plat02-SB-national-rail,1,1
910GCATFORD-Outside-910GCATFORD-1001053-Entr-4-same_level,910GCATFORD-Outside,910GCATFORD-1001053-Entr-4,1,1
910GCFPK-1001076-Bus-1-910GCFPK-1001076-EntB-5-ramp,910GCFPK-1001076-Bus-1,910GCFPK-1001076-EntB-5,1,1
910GCFPK-1001076-EntB-5-910GCFPK-1001076-FBdg-8-same_level,910GCFPK-1001076-EntB-5,910GCFPK-1001076-FBdg-8,1,1
910GCFPK-1001076-EntL-7-910GCFPK-1001076-RPL-S-3-same_level,910GCFPK-1001076-EntL-7,910GCFPK-1001076-RPL-S-3,1,1
910GCFPK-1001076-EntM-6-910GCFPK-1001076-RPL-N-2-same_level,910GCFPK-1001076-EntM-6,910GCFPK-1001076-RPL-N-2,1,1
910GCFPK-Outside-910GCFPK-Plat01-NB-thameslink-same_level,910GCFPK-Outside,910GCFPK-Plat01-NB-thameslink,1,1
910GCFPK-Outside-910GCFPK-Plat02-SB-thameslink-same_level,910GCFPK-Outside,910GCFPK-Plat02-SB-thameslink,1,1
910GCHDWLHT-1001055-Bus-1-910GCHDWLHT-1001055-EntS-3-same_level,910GCHDWLHT-1001055-Bus-1,910GCHDWLHT-1001055-EntS-3,1,1
910GCHDWLHT-1001055-EntS-3-910GCHDWLHT-1001055-FBdg-6-same_level,910GCHDWLHT-1001055-EntS-3,910GCHDWLHT-1001055-FBdg-6,1,1
910GCHDWLHT-1001055-EntS-3-910GCHDWLHT-Outside-same_level,910GCHDWLHT-1001055-EntS-3,910GCHDWLHT-Outside,1,1
910GCHDWLHT-1001055-FBdg-6-910GCHDWLHT-1001055-RPL1-2-lift-910GCHDWLHT-Lift-1,910GCHDWLHT-1001055-FBdg-6,910GCHDWLHT-1001055-RPL1-2,5,1
910GCHDWLHT-1001055-FBdg-6-910GCHDWLHT-1001055-RPL2-5-lift-910GCHDWLHT-Lift-2,910GCHDWLHT-1001055-FBdg-6,910GCHDWLHT-1001055-RPL2-5,5,1
910GCHDWLHT-1001055-FBdg-6-910GCHDWLHT-1001055-RPL3-7-lift-910GCHDWLHT-Lift-3,910GCHDWLHT-1001055-FBdg-6,910GCHDWLHT-1001055-RPL3-7,5,1
910GCHDWLHT-1001055-RPL1-2-910GCHDWLHT-Plat01-WB-elizabeth-same_level,910GCHDWLHT-1001055-RPL1-2,910GCHDWLHT-Plat01-WB-elizabeth,1,1
910GCHDWLHT-1001055-RPL2-5-910GCHDWLHT-Plat02-EB-elizabeth-same_level,910GCHDWLHT-1001055-RPL2-5,910GCHDWLHT-Plat02-EB-elizabeth,1,1
910GCHDWLHT-1001055-RPL2-5-910GCHDWLHT-Plat03-WB-elizabeth-same_level,910GCHDWLHT-1001055-RPL2-5,910GCHDWLHT-Plat03-WB-elizabeth,1,1
910GCHDWLHT-1001055-RPL3-7-910GCHDWLHT-Plat04-EB-elizabeth-same_level,910GCHDWLHT-1001055-RPL3-7,910GCHDWLHT-Plat04-EB-elizabeth,1,1
910GCHESHNT-1001532-Bus-3-910GCHESHNT-1001532-EntrM-2-same_level,910GCHESHNT-1001532-Bus-3,910GCHESHNT-1001532-EntrM-2,1,1
910GCHESHNT-1001532-Bus-3-910GCHESHNT-1001532-EntrW-6-same_level,910GCHESHNT-1001532-Bus-3,910GCHESHNT-1001532-EntrW-6,1,1
910GCHESHNT-1001532-EntrM-2-910GCHESHNT-1001532-RPL-N-1-same_level,910GCHESHNT-1001532-EntrM-2,910GCHESHNT-1001532-RPL-N-1,1,1
